unit_id,PANEL,Tech2,Tech,Speed,Package,MarketClass,Urban_Rural,Region,Country,trim24_mean_download,trimpk_mean_download,max_download_average,min_download_average,t00000600MonSun,t06001200MonSun,t12001800MonSun,t18001900MonSun,t19002000MonSun,t20002100MonSun,t21002200MonSun,t22002300MonSun,t23002400MonSun,t00000600MonFri,trim4_mean_upload,trimpk_mean_upload,max_upload_average,Min_upload_average,disconnects_30_seconds_plus,dns_24hrs,dns_24_fail_rate,jitter_24hrs_up,jitter_24hrs_down,latencyloss24,latencyfail_rate24,webget24,dns_pk,dns_pk_fail_rate,jitter_pk_up,jitter_pk_down,latencypk,latencyfailratepk,webgetPK,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak,Min_max,Peak_max,weight_National,Weight_ISP
940114,OFCOM,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Rural,North East,England,0.1789,0.17,0.2196,0.1622,0.1778,0.1841,0.1767,0.1724,0.1778,0.1699,0.1767,0.1871,0.1867,0.1799,0.5192,0.5073,0.5688,0.4356,5.8824,46.7146,0.003,0.6809,4.1709,42.5294,0.0048,10902.5063,47.056,0.0236,0.6705,4.9016,42.3704,0.011,11188.461,0,0,1,0,7047.676266,0,0,1,0,7728.0805,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.74,0.79,#NULL!,#NULL!
202342,SKC,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Rural,North West,England,0.2384,0.23,0.2426,0.2239,0.2374,0.2412,0.241,0.2396,0.2393,0.2388,0.2263,0.2389,0.2393,0.2292,0.3563,0.3447,0.403,0.2885,8.5588,42.648,0.0009,0.8029,2.4149,41.7201,0.0003,15946.0823,43.0821,0,0.8214,2.6188,42.17,0.0001,16292.5899,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.92,0.96,0.21,#NULL!
939996,SKC,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Rural,Wales,Wales,0.3962,0.38,0.4158,0.3333,0.411,0.4036,0.4088,0.3912,0.3824,0.373,0.3945,0.3963,0.3965,0.4231,0.5242,0.519,0.5735,0.4137,0.8235,44.1025,0.0008,0.7807,1.4271,37.7488,0.0014,8957.188,44.4612,0,0.7902,1.8141,38.6232,0.0011,8765.7844,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.8,0.92,#NULL!,#NULL!
37312,SKC,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Rural,Scotland,Scotland,0.3818,0.39,0.4663,0.2806,0.4463,0.3592,0.3546,0.3907,0.3989,0.3614,0.4223,0.3583,0.343,0.4477,0.2521,0.2582,0.3005,0.2248,0.7353,59.2124,0.0002,1.2886,1.5731,55.9322,0.001,13039.6628,68.2749,0,1.1847,1.2682,62.0102,0,13214.2919,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.6,0.84,#NULL!,#NULL!
942978,SKC,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Rural,East,England,0.4591,0.45,0.4715,0.4232,0.4597,0.4546,0.4589,0.4644,0.4642,0.4525,0.4564,0.4605,0.4637,0.4539,0.5219,0.534,0.5747,0.4384,0.6429,24.4431,0,0.6464,0.7441,18.2783,0.0009,7907.3013,24.5732,0,0.6376,1.0501,18.4061,0.0007,8137.2033,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.9,0.96,#NULL!,#NULL!
945236,OFCOM,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Rural,Northern Ireland,Northern Ireland,0.4357,0.43,0.4795,0.2917,0.4525,0.439,0.4038,0.4346,0.4316,0.4586,0.4022,0.4549,0.4482,0.4448,0.4167,0.4182,0.499,0.3193,5.6316,55.0113,0.0114,0.9484,0.87,46.3484,0.0192,8005.7311,56.092,0.0098,0.9151,0.7601,46.5219,0.0168,7732.767,0,0,1,0,3333.818682,0,0,1,0,3383.011667,0,0,0.9556,0.0444,3312.25212,0,0,0.8,0.2,6842.505733,0.61,0.9,0.14,#NULL!
940090,SKC,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Rural,Scotland,Scotland,0.5021,0.49,0.5123,0.4648,0.5094,0.5109,0.5,0.5047,0.4954,0.4903,0.4957,0.5028,0.5055,0.5173,0.5128,0.5105,0.5648,0.4255,0.5294,50.0411,0.0008,0.8138,0.8737,46.3647,0.0007,7349.845,50.3158,0,0.8408,0.9068,46.5643,0.0001,7447.0194,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.91,0.96,0.22,#NULL!
940100,OFCOM,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Rural,Scotland,Scotland,0.4293,0.41,0.5762,0.2262,0.519,0.4457,0.4315,0.3558,0.4283,0.4029,0.4199,0.4117,0.4492,0.5446,0.4799,0.4723,0.5933,0.3057,33.5588,57.6377,0.0205,0.7834,1.0422,80.2709,0.024,8926.6763,54.9339,0.0093,0.772,0.942,110.2319,0.0143,11269.2627,0,0,0.9583,0.0417,5991.453212,0,0,0.8,0.2,7238.3871,0,0,0.9,0.1,2759.96714,0,0,0.6667,0.3333,7494.852,0.39,0.71,0.25,#NULL!
942940,OFCOM,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Urban,South West,England,0.5929,0.65,0.6405,0.4586,0.6126,0.5688,0.5628,0.614,0.5787,0.6408,0.6661,0.5512,0.5715,0.5736,0.5294,0.5288,0.5801,0.4341,0.92,37.1636,0.0013,1.1039,0.8784,34.4085,0.005,7102.1852,37.328,0.0026,1.1254,1.2,34.6162,0.0047,6793.7895,0,0,1,0,2932.602909,0,0,1,0,2894.102769,0,0,1,0,2094.28791,0,0,1,0,2391.216429,0.72,1.02,0.45,#NULL!
633122,SKC,ADSL,ADSL1,Over 2 and up to 10,BT 8,1,Rural,Scotland,Scotland,0.6116,0.6,0.6622,0.5304,0.6121,0.6148,0.6153,0.6226,0.6034,0.6059,0.5942,0.6143,0.6156,0.598,0.3991,0.3981,0.4248,0.3489,4.5,38.1367,0.0036,0.7446,0.5591,36.2505,0.0048,10230.3924,38.3296,0.0164,0.7602,0.5781,36.5219,0.0097,10123.8613,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.8,0.91,#NULL!,#NULL!
