DATE,TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
23/01/2017,09:01:00,9.564,9.564,9.533,9.544,25280
23/01/2017,09:04:00,9.552,9.552,9.552,9.552,788
23/01/2017,09:05:00,9.552,9.552,9.552,9.552,820
23/01/2017,09:06:00,9.548,9.552,9.548,9.552,988
23/01/2017,09:07:00,9.549,9.549,9.549,9.549,970
23/01/2017,09:08:00,9.544,9.549,9.544,9.549,850
23/01/2017,09:10:00,9.541,9.542,9.541,9.542,893
23/01/2017,09:12:00,9.536,9.536,9.536,9.536,260
23/01/2017,09:13:00,9.52,9.521,9.52,9.521,1602
23/01/2017,09:15:00,9.534,9.534,9.528,9.528,1591
23/01/2017,09:17:00,9.547,9.547,9.537,9.542,6645
23/01/2017,09:18:00,9.547,9.548,9.547,9.548,505
23/01/2017,09:19:00,9.559,9.559,9.554,9.554,3677
23/01/2017,09:20:00,9.58,9.582,9.563,9.563,7320
23/01/2017,09:21:00,9.582,9.582,9.57,9.57,574
23/01/2017,09:22:00,9.58,9.58,9.58,9.58,7694
23/01/2017,09:27:00,9.59,9.59,9.585,9.585,1954
23/01/2017,09:28:00,9.59,9.59,9.589,9.59,5357
23/01/2017,09:31:00,9.577,9.577,9.577,9.577,2788
23/01/2017,09:32:00,9.571,9.575,9.571,9.575,401
23/01/2017,09:33:00,9.571,9.571,9.571,9.571,32
23/01/2017,09:34:00,9.571,9.571,9.57,9.57,1840
23/01/2017,09:35:00,9.57,9.57,9.57,9.57,470
23/01/2017,09:36:00,9.567,9.567,9.567,9.567,55
23/01/2017,09:37:00,9.57,9.57,9.567,9.567,991
23/01/2017,09:40:00,9.576,9.576,9.57,9.57,1603
23/01/2017,09:41:00,9.564,9.564,9.548,9.564,11762
23/01/2017,09:42:00,9.57,9.57,9.558,9.558,1567
23/01/2017,09:44:00,9.573,9.573,9.572,9.572,1300
23/01/2017,09:46:00,9.568,9.568,9.568,9.568,104
23/01/2017,09:47:00,9.563,9.563,9.563,9.563,1156
23/01/2017,09:49:00,9.561,9.563,9.561,9.563,293
23/01/2017,09:52:00,9.57,9.57,9.57,9.57,500
23/01/2017,09:54:00,9.57,9.571,9.569,9.57,3673
23/01/2017,09:56:00,9.564,9.564,9.564,9.564,772
23/01/2017,09:57:00,9.57,9.57,9.57,9.57,260
23/01/2017,09:58:00,9.563,9.563,9.563,9.563,145
23/01/2017,10:00:00,9.566,9.566,9.566,9.566,447
23/01/2017,10:01:00,9.565,9.566,9.565,9.566,2756
23/01/2017,10:02:00,9.566,9.566,9.564,9.564,3476
23/01/2017,10:04:00,9.561,9.563,9.561,9.563,307
23/01/2017,10:06:00,9.561,9.561,9.561,9.561,317
23/01/2017,10:09:00,9.562,9.562,9.56,9.561,1453
23/01/2017,10:10:00,9.566,9.567,9.563,9.563,1669
23/01/2017,10:11:00,9.568,9.568,9.568,9.568,398
23/01/2017,10:14:00,9.568,9.568,9.568,9.568,3447
23/01/2017,10:15:00,9.572,9.572,9.561,9.568,2773
23/01/2017,10:16:00,9.569,9.569,9.569,9.569,595
23/01/2017,10:18:00,9.576,9.576,9.573,9.573,2163
23/01/2017,10:19:00,9.576,9.576,9.569,9.569,1691
23/01/2017,10:20:00,9.568,9.569,9.568,9.569,5113
23/01/2017,10:21:00,9.571,9.571,9.566,9.569,4647
23/01/2017,10:22:00,9.568,9.568,9.568,9.568,735
23/01/2017,10:23:00,9.571,9.572,9.568,9.568,627
23/01/2017,10:24:00,9.573,9.573,9.571,9.571,1660
23/01/2017,10:25:00,9.585,9.585,9.578,9.578,5640
23/01/2017,10:30:00,9.59,9.59,9.588,9.588,6079
23/01/2017,10:31:00,9.585,9.59,9.585,9.59,3381
23/01/2017,10:32:00,9.582,9.584,9.581,9.584,5286
23/01/2017,10:35:00,9.585,9.585,9.582,9.582,790
23/01/2017,10:36:00,9.586,9.586,9.586,9.586,773
23/01/2017,10:37:00,9.585,9.59,9.585,9.586,15840
23/01/2017,10:38:00,9.581,9.585,9.581,9.585,1423
23/01/2017,10:40:00,9.585,9.585,9.58,9.58,616
23/01/2017,10:43:00,9.58,9.58,9.58,9.58,700
23/01/2017,10:44:00,9.586,9.586,9.586,9.586,100
23/01/2017,10:45:00,9.587,9.587,9.587,9.587,10
23/01/2017,10:46:00,9.58,9.58,9.58,9.58,18
23/01/2017,10:47:00,9.58,9.58,9.58,9.58,100
23/01/2017,10:51:00,9.58,9.58,9.58,9.58,35
23/01/2017,10:52:00,9.579,9.58,9.579,9.58,3425
23/01/2017,10:53:00,9.579,9.579,9.576,9.579,4139
23/01/2017,10:54:00,9.576,9.576,9.573,9.573,893
23/01/2017,10:55:00,9.579,9.58,9.577,9.577,4031
23/01/2017,10:56:00,9.579,9.58,9.579,9.58,604
23/01/2017,10:58:00,9.579,9.579,9.577,9.577,255
23/01/2017,10:59:00,9.571,9.571,9.571,9.571,42
23/01/2017,11:00:00,9.569,9.577,9.569,9.577,1920
23/01/2017,11:01:00,9.568,9.568,9.565,9.565,1705
23/01/2017,11:03:00,9.565,9.565,9.563,9.563,832
23/01/2017,11:04:00,9.563,9.565,9.561,9.561,1774
23/01/2017,11:05:00,9.564,9.569,9.564,9.569,1116
23/01/2017,11:06:00,9.563,9.563,9.563,9.563,711
23/01/2017,11:08:00,9.564,9.564,9.564,9.564,2491
23/01/2017,11:12:00,9.563,9.565,9.563,9.565,3400
23/01/2017,11:13:00,9.565,9.565,9.565,9.565,711
23/01/2017,11:14:00,9.566,9.566,9.566,9.566,180
23/01/2017,11:15:00,9.568,9.569,9.568,9.568,1005
23/01/2017,11:17:00,9.569,9.569,9.569,9.569,500
23/01/2017,11:18:00,9.566,9.566,9.563,9.565,838
23/01/2017,11:22:00,9.562,9.562,9.562,9.562,7
23/01/2017,11:23:00,9.562,9.562,9.562,9.562,36
23/01/2017,11:28:00,9.568,9.568,9.568,9.568,1033
23/01/2017,11:32:00,9.562,9.563,9.56,9.563,7983
23/01/2017,11:33:00,9.567,9.567,9.566,9.566,673
23/01/2017,11:36:00,9.57,9.57,9.568,9.568,590
23/01/2017,11:39:00,9.563,9.568,9.563,9.568,151
23/01/2017,11:40:00,9.563,9.563,9.563,9.563,195
23/01/2017,11:44:00,9.569,9.569,9.562,9.562,729
23/01/2017,11:46:00,9.563,9.563,9.563,9.563,295
23/01/2017,11:48:00,9.565,9.568,9.565,9.567,1462
23/01/2017,11:52:00,9.567,9.569,9.565,9.568,2247
23/01/2017,11:54:00,9.566,9.569,9.566,9.569,131
23/01/2017,11:56:00,9.57,9.57,9.566,9.566,1391
23/01/2017,11:58:00,9.568,9.57,9.568,9.57,744
23/01/2017,11:59:00,9.571,9.572,9.566,9.567,8432
23/01/2017,12:00:00,9.576,9.579,9.574,9.574,11363
23/01/2017,12:02:00,9.579,9.579,9.578,9.579,1008
23/01/2017,12:04:00,9.58,9.58,9.58,9.58,876
23/01/2017,12:05:00,9.577,9.58,9.577,9.58,1057
23/01/2017,12:07:00,9.577,9.577,9.577,9.577,9
23/01/2017,12:08:00,9.577,9.577,9.577,9.577,31
23/01/2017,12:09:00,9.581,9.581,9.581,9.581,830
23/01/2017,12:10:00,9.585,9.585,9.585,9.585,808
