Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
Hartford ,1,2015-055,01/01/2015,15:13,Male,Black,FALSE,"5'10""",220,34,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Unmarked Vehicle,officer not in uniform,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,,,covered in blood,TRUE,,,,,,,,,,,TRUE,
Naugatuck,1,15-19,01/01/2015,03:48,Male,Black,FALSE,"5'8""",150,26,D,,,5 Seconds,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,,,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,Touching Officer with bloody hands
Norwalk,1,15-00010,01/01/2015,00:32,Male,White,FALSE,"5'10""",175,22,C,,,,5 sec,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Unmarked Vehicle,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,TRUE,,
CSP (State Police),1,1500006763,04/01/2015,11:41,Male,White,FALSE,"5'10""",150,35,D,,,"3 sec, 4 sec, 5 sec",,3,TRUE,TRUE,,TRUE,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,,DWI investigation,,,TRUE,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,
Hartford ,1,2015-0379,05/01/2015,12:52,Male,Black,FALSE,6',153,62,D,,,5 sec.,,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Educational Facility,Marked Cruiser,,,,,,,,,TRUE,Trespassing,,,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,,
Cheshire,1,2015-341,06/01/2015,18:07,Male,White,FALSE,"5'8""",260,33,C,D,,1 for 5 seconds,,1,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Officer in Uniform,,TRUE,,,,TRUE,,,,trespass,,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,,,,,TRUE,,subject refused to leave property peacefully while trespassing
East Windsor,1,15-16-AR,06/01/2015,23:54,Male,White,FALSE,"6'2""",200,26,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,large k-bar knife,,,,TRUE,,,,,TRUE,,,TRUE,TRUE,
Danbury,1,1500001035,07/01/2015,09:00,Male,White,TRUE,"5'10""",177,34,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,
New London,1,15-000071,08/01/2015,10:18,Female,Black,FALSE,"5'2""",120,21,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,resisting arrest
Shelton,1,15-468,09/01/2015,11:30,Male,Black,FALSE,"5'11""",155,20,C,D,,5 seconds,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
