term,year,level,country_code,country_name,school_type,characteristic_desc,characteristic,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_PA_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10_exact,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Total,Total,6747420,1673934495,74790957,56921480,17869477,4.5,3.4,1.1,703725,10.4,161200568,28901235,18295509,10605726,17.9,11.3,6.6,44625333,4522762,1019788,61977,131087,884464,.,1240854,4020958,56507223,4386183,1083568,11318162,973934,17761847,74269070
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Gender,Gender_male,3431900,850637266,38113491,29041076,9072415,4.5,3.4,1.1,360330,10.5,82288184,14857713,9449032,5408681,18.1,11.5,6.6,22460868,2244409,526797,31886,67941,442312,.,928901,2123370,28826484,2206664,561998,5751932,495269,9015863,37842347
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Gender,Gender_female,3315520,823297229,36677466,27880404,8797062,4.5,3.4,1.1,343390,10.4,78912384,14043522,8846477,5197045,17.8,11.2,6.6,22164465,2278353,492991,30091,63146,442152,.,311953,1897588,27680739,2179519,521570,5566230,478665,8745984,36426723
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_White_Total,5036605,1257811526,57533473,44257283,13276190,4.6,3.5,1.1,539280,10.7,125121406,22829471,14707286,8122185,18.2,11.8,6.5,35432121,3529842,74810,43280,127158,645334,.,953901,3094913,43901359,2972665,803218,8714805,697214,13187902,57089261
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_White_British,4573310,1145827529,51710907,40197456,11513451,4.5,3.5,1,476045,10.4,111407435,20313062,13277310,7035752,18.2,11.9,6.3,32285670,3228513,36502,40100,48039,570064,.,886121,2782680,39877689,2594739,732724,7522126,587479,11437068,51314757
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Irish,19305,4784377,252158,186384,65774,5.3,3.9,1.4,2665,13.8,598842,117116,69193,47923,19.6,11.6,8,141350,15531,357,216,3109,2538,.,3799,18262,185162,8835,4375,47242,4905,65357,250519
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Traveller_of_Irish_heritage,5540,1184745,199393,104943,94450,16.8,8.9,8,3240,58.5,658379,173405,86948,86457,26.3,13.2,13.1,50486,4498,339,18,30323,588,.,3788,14470,104510,5355,5137,77985,5322,93799,198309
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Gypsy_Roma,24775,5584075,673460,337454,336006,12.1,6,6,10840,43.8,2307020,517358,240448,276910,22.4,10.4,12,213716,20064,568,70,43472,1932,.,15969,37365,333156,32176,11401,272250,18398,334225,667381
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Minor_Any_other_white_background,413675,100430800,4697555,3431046,1266509,4.7,3.4,1.3,46495,11.2,10149730,1708530,1033387,675143,16.8,10.2,6.7,2740899,261236,37044,2876,2215,70212,.,44224,242136,3400842,331560,49581,795202,81110,1257453,4658295
Autumn and spring term,201617,National,E92000001,England,State-funded primary and secondary,Ethnicity,Ethnicity_Major_Mixed_Total,374525,92175184,4372899,3184694,1188205,4.7,3.5,1.3,44770,12,10169968,1825797,1087186,738611,18,10.7,7.3,2452414,243450,58598,3883,508,56927,.,89633,263082,3168495,223943,104386,786505,67989,1182823,4351318
