avgPktsSize,nAttacks,nDstPorts,nDsts,nFlows,nSYNatt,nSrcPorts,nSrcs,packet_rate,rICMP,rSYN,rSrcDst
953.8996283,154,309,373,538,0,247,288,10263.96,0.000105223,6.82E-05,0.772117962
164.1279279,171,284,386,555,0,164,206,1821.82,0.002217563,0.000307385,0.533678756
97.28571429,75,210,230,322,0,137,181,626.52,0.001276895,0.001979187,0.786956522
153.0183727,94,173,309,381,0,127,163,1166,0.00212693,0.000651801,0.527508091
65.57303371,67,171,195,267,0,118,158,350.16,0.001999086,0.00228467,0.81025641
30.51546392,156,274,313,485,0,122,159,296,0.009797297,0.002905405,0.50798722
22.81521739,110,205,354,460,0,261,167,209.9,0.003049071,0.022582182,0.471751412
47.16040956,43,122,241,293,0,99,123,276.36,0.008467217,0.001953973,0.510373444
34.46666667,86,165,164,240,0,93,123,165.44,0.005319149,0.006044487,0.75
13.71653543,49,149,322,381,0,126,130,104.52,0.027745886,0.012437811,0.403726708
13.25301205,52,150,202,249,0,102,146,66,0.009393939,0.016060606,0.722772277
9.153354633,67,138,244,313,0,95,123,57.3,0.043280977,0.014659686,0.504098361
7.815450644,59,142,174,233,0,97,136,36.42,0.019769357,0.020867655,0.781609195
10.68442623,66,101,191,244,0,55,86,52.14,0.040659762,0.010356732,0.45026178
13.63451777,30,108,165,197,0,95,128,53.72,0.011913626,0.020104244,0.775757576
15.30503145,94,151,241,318,0,78,107,97.34,0.025477707,0.0053421,0.443983402
12.97826087,104,183,167,276,0,106,135,71.64,0.007537688,0.017029592,0.808383234
9.537953795,55,126,255,303,0,90,133,57.8,0.04083045,0.010034602,0.521568627
12.35833333,80,142,165,240,0,75,109,59.32,0.018880647,0.00842886,0.660606061
8.147766323,48,113,236,291,0,96,120,47.42,0.05398566,0.019401097,0.508474576
4.540669856,48,122,162,209,0,86,127,18.98,0.043203372,0.043203372,0.783950617
7.897350993,64,138,228,302,0,68,105,47.7,0.054926625,0.009224319,0.460526316
10.90592334,99,186,162,287,0,104,130,62.6,0.01341853,0.013099042,0.802469136
9.421232877,28,99,259,292,0,95,127,55.02,0.05307161,0.015994184,0.49034749
13.87755102,59,124,143,196,0,88,117,54.4,0.007352941,0.016544118,0.818181818
5.146341463,53,142,262,328,0,85,127,33.76,0.086492891,0.020734597,0.484732824
9.604477612,162,239,233,402,0,186,117,77.22,0.005439005,0.044548045,0.502145923
5.724381625,59,130,228,283,0,81,116,32.4,0.067283951,0.015432099,0.50877193
3.143426295,39,132,198,251,0,97,127,15.78,0.087452471,0.039290241,0.641414141
20.9122807,82,173,243,342,0,93,119,143.04,0.017477629,0.004753915,0.489711934
14.75496689,28,90,120,151,0,80,105,44.56,0.007181329,0.01481149,0.875
3.054054054,32,111,263,296,0,101,129,18.08,0.147123894,0.049778761,0.490494297
4.126829268,58,142,160,205,0,76,101,16.92,0.043735225,0.052009456,0.63125
3.422680412,38,123,232,291,0,101,128,19.92,0.111445783,0.052208835,0.551724138
11.8539823,67,139,158,226,0,69,114,53.58,0.017170586,0.010451661,0.721518987
2.030405405,40,98,253,296,0,95,127,12.02,0.227953411,0.06655574,0.501976285
6.353790614,121,190,143,277,0,89,111,35.2,0.015909091,0.023295455,0.776223776
6.301829268,75,134,253,328,0,87,107,41.34,0.070149976,0.027092404,0.422924901
7.031914894,49,112,145,188,0,79,116,26.44,0.017397882,0.024205749,0.8
5.794303797,81,148,230,316,0,95,113,36.62,0.064445658,0.033861278,0.491304348
