hourly_counts,date_time,year,month,month_day,week_day,hour,sensor_id,sensor_name
883,01/01/2016 00:00,2016,January,1,Friday,0,2,Bourke Street Mall (South)
597,01/01/2016 01:00,2016,January,1,Friday,1,2,Bourke Street Mall (South)
294,01/01/2016 02:00,2016,January,1,Friday,2,2,Bourke Street Mall (South)
183,01/01/2016 03:00,2016,January,1,Friday,3,2,Bourke Street Mall (South)
118,01/01/2016 04:00,2016,January,1,Friday,4,2,Bourke Street Mall (South)
68,01/01/2016 05:00,2016,January,1,Friday,5,2,Bourke Street Mall (South)
47,01/01/2016 06:00,2016,January,1,Friday,6,2,Bourke Street Mall (South)
52,01/01/2016 07:00,2016,January,1,Friday,7,2,Bourke Street Mall (South)
120,01/01/2016 08:00,2016,January,1,Friday,8,2,Bourke Street Mall (South)
333,01/01/2016 09:00,2016,January,1,Friday,9,2,Bourke Street Mall (South)
761,01/01/2016 10:00,2016,January,1,Friday,10,2,Bourke Street Mall (South)
1352,01/01/2016 11:00,2016,January,1,Friday,11,2,Bourke Street Mall (South)
1848,01/01/2016 12:00,2016,January,1,Friday,12,2,Bourke Street Mall (South)
2094,01/01/2016 13:00,2016,January,1,Friday,13,2,Bourke Street Mall (South)
2452,01/01/2016 14:00,2016,January,1,Friday,14,2,Bourke Street Mall (South)
2519,01/01/2016 15:00,2016,January,1,Friday,15,2,Bourke Street Mall (South)
2417,01/01/2016 16:00,2016,January,1,Friday,16,2,Bourke Street Mall (South)
1793,01/01/2016 17:00,2016,January,1,Friday,17,2,Bourke Street Mall (South)
1224,01/01/2016 18:00,2016,January,1,Friday,18,2,Bourke Street Mall (South)
784,01/01/2016 19:00,2016,January,1,Friday,19,2,Bourke Street Mall (South)
530,01/01/2016 20:00,2016,January,1,Friday,20,2,Bourke Street Mall (South)
328,01/01/2016 21:00,2016,January,1,Friday,21,2,Bourke Street Mall (South)
234,01/01/2016 22:00,2016,January,1,Friday,22,2,Bourke Street Mall (South)
172,01/01/2016 23:00,2016,January,1,Friday,23,2,Bourke Street Mall (South)
88,02/01/2016 00:00,2016,January,2,Saturday,0,2,Bourke Street Mall (South)
50,02/01/2016 01:00,2016,January,2,Saturday,1,2,Bourke Street Mall (South)
23,02/01/2016 02:00,2016,January,2,Saturday,2,2,Bourke Street Mall (South)
37,02/01/2016 03:00,2016,January,2,Saturday,3,2,Bourke Street Mall (South)
12,02/01/2016 04:00,2016,January,2,Saturday,4,2,Bourke Street Mall (South)
